DATEPRD,WELL_BORE_CODE,NPD_WELL_BORE_CODE,NPD_WELL_BORE_NAME,NPD_FIELD_CODE,NPD_FIELD_NAME,NPD_FACILITY_CODE,NPD_FACILITY_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_CHOKE_UOM,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,BORE_WI_VOL,FLOW_KIND,WELL_TYPE
06-May-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,225.902,107.86,154.951,,49.00558,%,70.952,58.883,42.45,1003.00,144950.00,0.00,,production,OP
07-May-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,225.768,107.838,155.059,,47.9204,%,70.71,57.426,42.049,925.00,135000.00,0.00,,production,OP
08-May-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,225.687,107.821,155.142,,47.29695,%,70.545,57.656,41.159,914.00,127565.00,0.00,,production,OP
09-May-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,13.83,227.798,107.599,156.852,,29.13359,%,70.946,55.955,41.745,177.00,24323.00,0.00,,production,OP
10-May-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,226.061,107.684,155.165,,48.13438,%,70.896,57.374,41.905,944.00,52163.00,0.00,,production,OP
11-May-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,225.097,107.836,155.162,,47.49389,%,69.935,58.024,41.483,823.00,117732.00,0.00,,production,OP
12-May-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,226.023,107.772,155.797,,46.93359,%,70.226,56.885,41.807,769.00,111238.00,0.00,,production,OP
13-May-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,226.905,107.717,156.577,,46.3352,%,70.328,54.255,41.926,741.00,107144.00,0.00,,production,OP
14-May-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,225.576,107.741,156.204,,45.16209,%,69.372,54.995,40.981,713.00,102881.00,0.00,,production,OP
15-May-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,225.893,107.709,156.826,,46.31644,%,69.067,48.598,40.651,744.00,106745.00,0.00,,production,OP
16-May-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,225.701,107.71,157.108,,46.34614,%,68.593,48.378,40.138,736.00,104864.00,0.00,,production,OP
17-May-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,223.603,107.778,156.346,,47.08721,%,67.256,53.921,38.84,783.00,110078.00,0.00,,production,OP
18-May-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,220.102,107.889,154.695,,47.76981,%,65.407,53.832,36.99,835.00,117388.00,0.00,,production,OP
19-May-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,220.49,107.86,155.176,,47.13595,%,65.314,55.754,36.906,789.00,109517.00,0.00,,production,OP
20-May-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,220.154,107.859,155.238,,47.14247,%,64.916,55.628,36.509,783.00,109362.00,0.00,,production,OP
21-May-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,220.066,107.851,155.375,,46.52459,%,64.691,52.236,36.281,744.00,104993.00,0.00,,production,OP
22-May-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,219.983,107.852,155.547,,46.289,%,64.436,53.661,36.019,735.00,107116.00,0.00,,production,OP
23-May-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,219.863,107.867,155.572,,46.28423,%,64.291,49.053,35.873,743.00,108079.00,93.00,,production,OP
24-May-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,219.923,107.883,155.753,,46.24216,%,64.17,54.691,35.751,747.00,108387.00,100.00,,production,OP
25-May-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,219.977,107.903,155.904,,46.26168,%,64.073,55.231,35.671,751.00,105810.00,101.00,,production,OP
26-May-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,219.974,107.921,156.043,,46.26511,%,63.93,55.103,35.529,727.00,106514.00,87.00,,production,OP
27-May-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,219.98,107.936,156.243,,46.22633,%,63.737,55.311,35.335,716.00,105800.00,91.00,,production,OP
28-May-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,219.267,107.445,155.716,,46.215,%,63.551,55.508,35.155,695.00,102250.00,77.00,,production,OP
29-May-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,220.007,107.962,156.549,,46.21506,%,63.458,56.171,35.052,699.00,102824.00,77.00,,production,OP
30-May-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,220,107.974,156.665,,46.23157,%,63.335,55.852,34.924,704.00,103978.00,78.00,,production,OP
31-May-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,219.994,107.985,156.783,,46.2074,%,63.21,55.596,34.793,716.00,105761.00,79.00,,production,OP
01-Jun-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,220.006,107.994,156.864,,46.26479,%,63.142,55.963,34.726,724.00,107036.00,80.00,,production,OP
02-Jun-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,22,221.328,107.825,157.538,,41.7134,%,63.79,50.774,35.352,460.00,68263.00,46.00,,production,OP
03-Jun-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,220.24,107.965,157.868,,46.19319,%,62.373,53.047,33.947,715.00,104866.00,81.00,,production,OP
04-Jun-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,221.268,107.961,159.451,,46.15731,%,61.817,53.736,33.387,707.00,104234.00,80.00,,production,OP
05-Jun-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,221.045,107.973,158.758,,47.04157,%,62.286,54.245,33.842,677.00,99517.00,91.00,,production,OP
06-Jun-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,220.75,107.987,157.674,,47.2027,%,63.076,56.534,34.646,690.00,99850.00,92.00,,production,OP
07-Jun-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,220.64,107.994,157.278,,47.19411,%,63.362,56.615,34.934,694.00,100306.00,92.00,,production,OP
08-Jun-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,220.504,108.003,157.185,,47.15202,%,63.319,52.051,34.892,691.00,99959.00,91.00,,production,OP
09-Jun-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,19.5,221.451,107.757,159.113,,38.97891,%,62.337,53.559,34.67,238.00,34916.00,28.00,,production,OP
10-Jun-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,220.852,107.991,158.075,,46.51253,%,62.777,54.486,34.352,647.00,95262.00,85.00,,production,OP
11-Jun-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,218.415,108.065,156.685,,47.81521,%,61.73,54.295,33.314,746.00,108793.00,94.00,,production,OP
12-Jun-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,215.497,108.139,155.559,,48.72777,%,59.938,61.561,31.529,805.00,116555.00,102.00,,production,OP
13-Jun-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,214.823,108.135,154.685,,48.26392,%,60.138,62.327,31.739,819.00,120308.00,57.00,,production,OP
14-Jun-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,215.833,108.105,155.598,,48.00591,%,60.235,59.584,31.836,781.00,115374.00,54.00,,production,OP
15-Jun-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,214.877,108.114,154.958,,48.04032,%,59.92,60.774,31.544,786.00,116058.00,55.00,,production,OP
16-Jun-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,215.381,108.088,155.333,,47.74037,%,60.048,59.445,31.671,757.00,111153.00,52.00,,production,OP
17-Jun-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,216.119,108.067,155.978,,47.62397,%,60.14,58.607,31.763,727.00,107051.00,51.00,,production,OP
18-Jun-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,215.984,108.066,156.197,,47.63986,%,59.787,58.662,31.4,724.00,106457.00,51.00,,production,OP
19-Jun-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,215.818,108.066,156.378,,47.60717,%,59.44,57.55,31.053,715.00,105828.00,53.00,,production,OP
20-Jun-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,215.579,108.073,156.488,,47.58517,%,59.091,58.446,30.704,711.00,104861.00,51.00,,production,OP
21-Jun-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,215.304,108.079,156.599,,47.6112,%,58.705,58.703,30.313,708.00,104156.00,50.00,,production,OP
22-Jun-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,214.949,108.085,156.713,,47.61982,%,58.236,58.418,29.846,703.00,102418.00,52.00,,production,OP
23-Jun-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,214.858,108.087,157.394,,47.65973,%,57.464,57.883,28.78,696.00,102285.00,52.00,,production,OP
24-Jun-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,214.897,108.08,157.989,,47.62792,%,56.908,57.35,28.519,658.00,96652.00,95.00,,production,OP
25-Jun-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,214.822,108.084,157.947,,46.56755,%,56.875,58.007,28.477,576.00,85082.00,79.00,,production,OP
26-Jun-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,16.58,219.559,107.447,158.581,,44,%,60.978,49.152,35.123,370.00,55420.00,51.00,,production,OP
27-Jun-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,23.83,217.252,107.635,162.789,,44.3751,%,54.462,50.511,26.032,418.00,63214.00,59.00,,production,OP
28-Jun-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,215.093,108.078,160.766,,47.05341,%,54.327,55.688,25.903,589.00,88193.00,92.00,,production,OP
29-Jun-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,215.259,108.099,160.197,,46.83166,%,55.062,55.97,26.646,572.00,85616.00,82.00,,production,OP
30-Jun-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,215.351,108.108,160.212,,45.82783,%,55.139,56.006,26.727,513.00,76979.00,71.00,,production,OP
01-Jul-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,215.385,108.114,160.417,,46.78696,%,54.967,56.254,26.555,563.00,84308.00,79.00,,production,OP
02-Jul-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,215.407,108.119,160.599,,46.79973,%,54.808,51.652,26.39,564.00,84365.00,79.00,,production,OP
03-Jul-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,215.332,108.124,160.782,,46.80369,%,54.551,50.821,26.132,565.00,84351.00,79.00,,production,OP
04-Jul-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,215.211,108.129,161.101,,46.84702,%,54.111,51.418,25.676,564.00,84183.00,80.00,,production,OP
05-Jul-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,215.119,108.132,161.484,,46.85599,%,53.635,54.232,25.201,563.00,83870.00,80.00,,production,OP
06-Jul-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,215.067,108.134,161.973,,46.86472,%,53.094,56.636,24.659,563.00,83854.00,80.00,,production,OP
07-Jul-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,215.07,108.136,162.407,,46.82457,%,52.663,54.966,24.234,522.00,77847.00,154.00,,production,WI
08-Jul-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,215.047,108.139,163.023,,46.80372,%,52.024,57.485,23.586,523.00,77885.00,247.00,,production,OP
09-Jul-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,215.136,108.14,163.889,,46.80708,%,51.247,56.123,22.798,522.00,77859.00,247.00,,production,OP
10-Jul-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,215.165,108.143,164.233,,46.79164,%,50.932,57.489,22.48,490.00,73241.00,213.00,,production,OP
11-Jul-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,215.188,108.144,164.696,,46.78773,%,50.492,56.119,22.038,492.00,72895.00,253.00,,production,OP
12-Jul-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,215.464,108.142,165.927,,46.85941,%,49.536,56.633,21.08,488.00,72637.00,204.00,,production,OP
13-Jul-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,215.759,108.134,166.743,,46.80047,%,49.016,57.204,20.54,482.00,71515.00,200.00,,production,OP
14-Jul-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,215.977,108.121,167.412,,47.00266,%,48.565,56.775,20.102,492.00,73096.00,215.00,,production,OP
15-Jul-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,215.051,108.145,166.189,,47.88536,%,48.862,56.395,20.38,476.00,70443.00,247.00,,production,OP
16-Jul-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,214.827,108.15,166.342,,47.76055,%,48.486,56.418,20.016,466.00,69327.00,244.00,,production,OP
17-Jul-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,214.761,108.151,166.585,,47.7135,%,48.176,55.027,19.707,464.00,68817.00,242.00,,production,OP
18-Jul-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,214.923,108.148,167.474,,47.69517,%,47.449,58.937,19.009,459.00,68361.00,241.00,,production,OP
19-Jul-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,215.035,108.147,167.639,,47.68624,%,47.396,58.307,18.922,458.00,68466.00,241.00,,production,OP
20-Jul-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,22.42,216.045,108.021,168.827,,43.93395,%,47.218,55.548,18.539,291.00,44919.00,139.00,,production,OP
21-Jul-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,215.112,108.142,170.3,,47.97656,%,44.812,56.696,16.288,487.00,72966.00,256.00,,production,OP
22-Jul-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,215.062,108.176,168.716,,47.70091,%,46.346,58.756,17.868,469.00,69274.00,242.00,,production,OP
23-Jul-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,215.205,108.182,169.048,,47.71833,%,46.157,58.985,17.681,465.00,69891.00,240.00,,production,OP
24-Jul-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,215.378,108.182,169.281,,47.63336,%,46.097,59.719,17.614,467.00,69743.00,232.00,,production,OP
25-Jul-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,215.526,108.183,169.771,,47.65598,%,45.756,59.467,17.269,464.00,69237.00,233.00,,production,OP
26-Jul-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,215.614,108.183,170.112,,47.60958,%,45.501,60.039,17.047,459.00,68831.00,252.00,,production,OP
27-Jul-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,215.844,108.183,170.957,,47.59103,%,44.887,58.891,16.437,461.00,68638.00,260.00,,production,OP
28-Jul-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,216.087,108.183,171.445,,47.60245,%,44.642,59.252,16.195,458.00,68331.00,245.00,,production,OP
29-Jul-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,215.966,108.191,171.367,,48.1316,%,44.598,56.664,16.151,482.00,71885.00,259.00,,production,OP
30-Jul-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,214.626,108.233,169.636,,48.71677,%,44.99,57.165,16.522,489.00,72278.00,243.00,,production,OP
31-Jul-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,215.092,108.22,171.845,,48.71789,%,43.247,58.959,14.725,376.00,56055.00,218.00,,production,OP
01-Aug-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,215.027,108.221,171.356,,48.72132,%,43.671,59.044,15.15,378.00,56399.00,218.00,,production,OP
02-Aug-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,215.155,108.217,172.016,,48.70453,%,43.139,58.063,14.605,379.00,56290.00,218.00,,production,OP
03-Aug-14,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24,215.13,108.217,171.879,,48.69856,%,43.251,57.608,14.744,377.00,56569.00,213.00,,production,OP
